version,lr_label,alpha,kind,rank,feature,category,importance_score,instability_score,flips_per_1k_updates,abs_delta_w_per_update,relative_jitter,mean_abs_contribution,mean_activation_rate
trimmed,10x,0.06,importance,1,bias,position_identity,0.45096817534658046,58.05493033037236,66.02367394068537,0.021645491806472596,0.9999968947625612,0.08924995164076487,1.0
trimmed,10x,0.06,importance,2,action_preserves_control,action_context,0.3957163293711721,46.235054233831406,44.717730964933196,0.01834802180231011,0.9999940045548017,0.08886365240961708,0.8727157198028838
trimmed,10x,0.06,importance,3,is_farmer,position_identity,0.326838072196288,44.463222961673544,47.344431993149534,0.015525520539800717,0.9999929624613011,0.06433539688587189,0.6666666666666666
trimmed,10x,0.06,importance,4,landlord_down_cards_left,cards_left,0.29457718110861353,31.88398286243423,25.875505926677445,0.011533923692515626,0.9999856799247624,0.10184423219278856,1.0
trimmed,10x,0.06,importance,5,landlord_up_cards_left,cards_left,0.288456608973071,33.069978011404245,27.012938184135535,0.012264990931657671,0.9999811806092356,0.08339163642030697,1.0
trimmed,10x,0.06,importance,6,action_type_0,action_context,0.2500763839249317,36.51344566825629,38.02723197366055,0.011302553069724558,0.9999999809067508,0.06064984743741912,0.560479937328471
trimmed,10x,0.06,importance,7,action_is_pass,action_context,0.2500763839249317,36.51344566825629,38.02723197366055,0.011302553069724558,0.9999999809067508,0.06064984743741912,0.560479937328471
trimmed,10x,0.06,importance,8,played_low_cards_ratio,rank_summary,0.24810148771500992,35.00397869269743,33.26277918938764,0.011698938527359896,0.9999928489582474,0.052517033098226196,0.9572331845949278
trimmed,10x,0.06,importance,9,played_group_low_3_to_7,new_grouped_rank_summary,0.24810148771500992,35.00397869269743,33.26277918938764,0.011698938527359896,0.9999928489582474,0.052517033098226196,0.9572331845949278
trimmed,10x,0.06,importance,10,played_jokers_ratio,rank_summary,0.24646019415958195,35.9525656951298,34.655465387867416,0.012090401737280987,0.9999977802701846,0.04445886608103725,0.6039742168370758
trimmed,10x,0.06,instability,1,bias,position_identity,0.45096817534658046,58.05493033037236,66.02367394068537,0.021645491806472596,0.9999968947625612,0.08924995164076487,1.0
trimmed,10x,0.06,instability,2,action_preserves_control,action_context,0.3957163293711721,46.235054233831406,44.717730964933196,0.01834802180231011,0.9999940045548017,0.08886365240961708,0.8727157198028838
trimmed,10x,0.06,instability,3,is_farmer,position_identity,0.326838072196288,44.463222961673544,47.344431993149534,0.015525520539800717,0.9999929624613011,0.06433539688587189,0.6666666666666666
trimmed,10x,0.06,instability,4,played_group_control_a_2_joker,new_grouped_rank_summary,0.22730451573185353,40.410909071562685,46.38507385332988,0.011856945733852908,0.999993379637782,0.02918158486230132,0.8590368862343319
trimmed,10x,0.06,instability,5,played_high_cards_ratio,rank_summary,0.22814281518264723,37.93040446152027,40.32969150922773,0.01179860533623766,0.9999922521591512,0.030989484282806824,0.8247112286244648
trimmed,10x,0.06,instability,6,played_group_ace_2,new_grouped_rank_summary,0.22814281518264723,37.93040446152027,40.32969150922773,0.01179860533623766,0.9999922521591512,0.030989484282806824,0.8247112286244648
trimmed,10x,0.06,instability,7,action_type_0,action_context,0.2500763839249317,36.51344566825629,38.02723197366055,0.011302553069724558,0.9999999809067508,0.06064984743741912,0.560479937328471
trimmed,10x,0.06,instability,8,action_is_pass,action_context,0.2500763839249317,36.51344566825629,38.02723197366055,0.011302553069724558,0.9999999809067508,0.06064984743741912,0.560479937328471
trimmed,10x,0.06,instability,9,last_player_enemy,last_move_context,0.223654836934028,36.00924366071119,38.083715531555555,0.010775834625343506,0.9999922822745462,0.0443715257380093,0.505140861502587
trimmed,10x,0.06,instability,10,played_jokers_ratio,rank_summary,0.24646019415958195,35.9525656951298,34.655465387867416,0.012090401737280987,0.9999977802701846,0.04445886608103725,0.6039742168370758
trimmed,1x,0.006,importance,1,bias,position_identity,0.3272198000754108,12.865404181334588,3.362927028124966,0.0015207550585514596,0.9999478311533142,0.07365169036978235,1.0
trimmed,1x,0.006,importance,2,action_preserves_control,action_context,0.251280377832298,16.156272518097467,12.121859876937016,0.0013076241073826267,0.9999904459940032,0.03313397350066214,0.8386367484427676
trimmed,1x,0.006,importance,3,played_low_cards_ratio,rank_summary,0.22045277286119752,11.500590041892567,1.393692300925928,0.0009450697397498615,0.9998043381772335,0.06280003936413682,0.9688572179046457
trimmed,1x,0.006,importance,4,played_group_low_3_to_7,new_grouped_rank_summary,0.22045277286119752,11.500590041892567,1.393692300925928,0.0009450697397498615,0.9998043381772335,0.06280003936413682,0.9688572179046457
trimmed,1x,0.006,importance,5,is_farmer,position_identity,0.211180397595218,12.18145667656801,2.934462411688288,0.0010077829249101613,0.9999888786982533,0.040583057321297626,0.6666666666666666
trimmed,1x,0.006,importance,6,landlord_down_cards_left,cards_left,0.20742293980495563,10.792473404452172,0.43555840147702063,0.0006209861931668029,0.9997263850694561,0.1039062120602208,1.0
trimmed,1x,0.006,importance,7,played_mid_cards_ratio,rank_summary,0.2064165862499067,11.795550567331084,2.1049624809709218,0.0009555594025425103,0.9998006172400205,0.04710309982100248,0.953419919076763
trimmed,1x,0.006,importance,8,played_group_mid_8_to_k,new_grouped_rank_summary,0.2064165862499067,11.795550567331084,2.1049624809709218,0.0009555594025425103,0.9998006172400205,0.04710309982100248,0.953419919076763
trimmed,1x,0.006,importance,9,landlord_up_cards_left,cards_left,0.1923903533856542,10.9834443933747,0.6762741738459712,0.0007148485544151551,0.9998086169421158,0.07313879212731857,1.0
trimmed,1x,0.006,importance,10,my_control_advantage_over_played,control_bomb,0.18875878773334887,10.972840867032726,0.3140182177858216,0.000849401870513943,0.9997831709404456,0.047235169303437026,0.9344015367732872
trimmed,1x,0.006,instability,1,action_preserves_control,action_context,0.251280377832298,16.156272518097467,12.121859876937016,0.0013076241073826267,0.9999904459940032,0.03313397350066214,0.8386367484427676
trimmed,1x,0.006,instability,2,played_group_control_a_2_joker,new_grouped_rank_summary,0.16800696088724623,14.39487196083828,8.717788895578066,0.0009080073218645109,0.9999749080742544,0.01665132134942243,0.8428070941060619
trimmed,1x,0.006,instability,3,action_type_0,action_context,0.15113138916422036,13.848505757931504,7.622981404351895,0.0007998875026545114,0.9999425693536234,0.01745998185351684,0.5076042074476196
trimmed,1x,0.006,instability,4,action_is_pass,action_context,0.15113138916422036,13.848505757931504,7.622981404351895,0.0007998875026545114,0.9999425693536234,0.01745998185351684,0.5076042074476196
trimmed,1x,0.006,instability,5,played_jokers_ratio,rank_summary,0.17655504815773768,13.760189213075368,7.082907903280497,0.0009273389056017537,0.9999687146161415,0.02201116913512213,0.607092442806008
trimmed,1x,0.006,instability,6,played_group_joker,new_grouped_rank_summary,0.17655504815773768,13.760189213075368,7.082907903280497,0.0009273389056017537,0.9999687146161415,0.02201116913512213,0.607092442806008
trimmed,1x,0.006,instability,7,played_high_cards_ratio,rank_summary,0.17121817029515335,13.686730774725074,6.95947604357854,0.0009031753805994601,0.9999764976694197,0.020659590870219378,0.8235076546138067
trimmed,1x,0.006,instability,8,played_group_ace_2,new_grouped_rank_summary,0.17121817029515335,13.686730774725074,6.95947604357854,0.0009031753805994601,0.9999764976694197,0.020659590870219378,0.8235076546138067
trimmed,1x,0.006,instability,9,last_move_avg_rank,old_rank_last_move,0.13726611468962174,13.290706204257877,6.62559522767976,0.0006425129135731583,0.9997955199612815,0.030069849206630434,0.7478168564448423
trimmed,1x,0.006,instability,10,bias,position_identity,0.3272198000754108,12.865404181334588,3.362927028124966,0.0015207550585514596,0.9999478311533142,0.07365169036978235,1.0
trimmed,1e-1,0.0006,importance,1,bias,position_identity,0.335792392277831,10.21801969563095,0.18751527113003522,0.0001513870372336184,0.9991626549945318,0.08261717386776582,1.0
trimmed,1e-1,0.0006,importance,2,action_preserves_control,action_context,0.2700385453566244,10.264326063331927,0.34946027801506563,0.00013008400327280633,0.9994457948853095,0.05247653885371291,0.8498375549728935
trimmed,1e-1,0.0006,importance,3,is_farmer,position_identity,0.23501708863647375,10.09259612780108,0.0,0.00010088434385632176,0.9991711783944759,0.064111852273345,0.6666666666666666
trimmed,1e-1,0.0006,importance,4,played_mid_cards_ratio,rank_summary,0.19786367663466606,10.283581425128464,0.4446384838159168,0.00010687611866239314,0.9998849912939705,0.01901859072322939,0.9689285774278418
trimmed,1e-1,0.0006,importance,5,played_group_mid_8_to_k,new_grouped_rank_summary,0.19786367663466606,10.283581425128464,0.4446384838159168,0.00010687611866239314,0.9998849912939705,0.01901859072322939,0.9689285774278418
trimmed,1e-1,0.0006,importance,6,played_jokers_ratio,rank_summary,0.19699987598217217,10.12143738882855,0.06487270743640107,9.8604737886261e-05,0.9996883567967729,0.03269482233413269,0.6293606244017941
trimmed,1e-1,0.0006,importance,7,played_group_joker,new_grouped_rank_summary,0.19699987598217217,10.12143738882855,0.06487270743640107,9.8604737886261e-05,0.9996883567967729,0.03269482233413269,0.6293606244017941
trimmed,1e-1,0.0006,importance,8,my_control_advantage_over_played,control_bomb,0.18257632002601903,10.085370638230321,0.047352341194453335,8.506805309932571e-05,0.9981361648653214,0.04080710794839691,0.936075176609225
trimmed,1e-1,0.0006,importance,9,played_low_cards_ratio,rank_summary,0.18227259699659867,10.702809626858174,1.5446333697630676,9.36010941466343e-05,0.9991355184806312,0.025457849752565997,0.9582379506775133
trimmed,1e-1,0.0006,importance,10,played_group_low_3_to_7,new_grouped_rank_summary,0.18227259699659867,10.702809626858174,1.5446333697630676,9.36010941466343e-05,0.9991355184806312,0.025457849752565997,0.9582379506775133
trimmed,1e-1,0.0006,instability,1,action_type_0,action_context,0.14182496359789593,10.975051561095464,2.2511303003843115,7.83521721666594e-05,0.9996247268775078,0.010656052487966583,0.5095255893851636
trimmed,1e-1,0.0006,instability,2,action_is_pass,action_context,0.14182496359789593,10.975051561095464,2.2511303003843115,7.83521721666594e-05,0.9996247268775078,0.010656052487966583,0.5095255893851636
trimmed,1e-1,0.0006,instability,3,played_low_cards_ratio,rank_summary,0.18227259699659867,10.702809626858174,1.5446333697630676,9.36010941466343e-05,0.9991355184806312,0.025457849752565997,0.9582379506775133
trimmed,1e-1,0.0006,instability,4,played_group_low_3_to_7,new_grouped_rank_summary,0.18227259699659867,10.702809626858174,1.5446333697630676,9.36010941466343e-05,0.9991355184806312,0.025457849752565997,0.9582379506775133
trimmed,1e-1,0.0006,instability,5,action_uses_low_card,action_context,0.04219630822576712,10.659121236072991,1.5943533280172437,2.4715398653317493e-05,0.9996664506212777,0.0009879972771642694,0.16617214885480058
trimmed,1e-1,0.0006,instability,6,last_player_enemy,last_move_context,0.1427614712648505,10.387025947635744,0.7746843019412566,7.917659315133332e-05,0.9997975633707907,0.011354950934143427,0.5092340322742147
trimmed,1e-1,0.0006,instability,7,action_avg_rank,action_context,0.06965089453809094,10.316244661523955,0.722596726627358,3.7083595334182414e-05,0.999012237553883,0.007657510220608228,0.47404764872615385
trimmed,1e-1,0.0006,instability,8,farmer_action_blocks_landlord,farmer_role_specialized,0.025327679956193058,10.298922922293741,0.7330142416901376,1.4088324360814717e-05,0.999162890125687,0.0015347186513142211,0.10475599243336299
trimmed,1e-1,0.0006,instability,9,last_move_avg_rank,old_rank_last_move,0.11754270901291751,10.295513024217737,0.596639499050112,6.253694986384235e-05,0.999432027473385,0.01286307726307145,0.7424806107540792
trimmed,1e-1,0.0006,instability,10,played_mid_cards_ratio,rank_summary,0.19786367663466606,10.283581425128464,0.4446384838159168,0.00010687611866239314,0.9998849912939705,0.01901859072322939,0.9689285774278418
trimmed,1e-2,6e-05,importance,1,bias,position_identity,0.27578464789469714,9.94650304354459,0.01823404542227929,1.2455746941616801e-05,0.9926753678434062,0.06278403541073203,1.0
trimmed,1e-2,6e-05,importance,2,action_preserves_control,action_context,0.22916339730576957,9.968116255780721,0.042828804363958334,1.1211750106016112e-05,0.9939772983929123,0.037888632994419816,0.8459440719958582
trimmed,1e-2,6e-05,importance,3,is_farmer,position_identity,0.20236461529206579,9.895621033441607,0.0,8.247041935688618e-06,0.9887373991505918,0.05952686748156945,0.6666666666666666
trimmed,1e-2,6e-05,importance,4,played_jokers_ratio,rank_summary,0.1872068150046731,10.003891390543826,0.030107377325158828,9.99139179283198e-06,0.998185704782093,0.018490045479836216,0.7835838493794883
trimmed,1e-2,6e-05,importance,5,played_group_joker,new_grouped_rank_summary,0.1872068150046731,10.003891390543826,0.030107377325158828,9.99139179283198e-06,0.998185704782093,0.018490045479836216,0.7835838493794883
trimmed,1e-2,6e-05,importance,6,played_mid_cards_ratio,rank_summary,0.1666258062567536,9.980873579463463,0.01568976001451939,8.522167317013428e-06,0.9966075508140643,0.020114764882304365,0.9678838625367949
trimmed,1e-2,6e-05,importance,7,played_group_mid_8_to_k,new_grouped_rank_summary,0.1666258062567536,9.980873579463463,0.01568976001451939,8.522167317013428e-06,0.9966075508140643,0.020114764882304365,0.9678838625367949
trimmed,1e-2,6e-05,importance,8,played_group_control_a_2_joker,new_grouped_rank_summary,0.16006623471969797,10.000567891035676,0.07378427682503712,8.846558393943007e-06,0.9962207621911718,0.010459697184292183,0.9225207307510865
trimmed,1e-2,6e-05,importance,9,my_control_advantage_over_played,control_bomb,0.15901574133946725,9.942284866963021,0.04664523247559819,8.332567307130098e-06,0.9915294206665651,0.01851069859289627,0.9479431463366303
trimmed,1e-2,6e-05,importance,10,played_high_cards_ratio,rank_summary,0.15512184597121534,9.99319119263729,0.07039189628135727,8.560353766047356e-06,0.9956474080358702,0.010292866437835958,0.8836978846907156
trimmed,1e-2,6e-05,instability,1,action_uses_low_card,action_context,0.038699200278691955,10.398692786010963,0.9977839274098411,2.2505413968661265e-06,0.9997328673650159,0.0006114786028969205,0.1643830009893433
trimmed,1e-2,6e-05,instability,2,action_max_rank,action_context,0.04896875378499795,10.063269126713944,0.19378973855771245,2.7487080050595597e-06,0.9983004523285799,0.0015874494090481971,0.4813650879464485
trimmed,1e-2,6e-05,instability,3,action_type_0,action_context,0.1278415439638322,10.060051104337015,0.20057449964507218,6.707847728198301e-06,0.9973113456750787,0.012944067203314981,0.5052444133281385
trimmed,1e-2,6e-05,instability,4,action_is_pass,action_context,0.1278415439638322,10.060051104337015,0.20057449964507218,6.707847728198301e-06,0.9973113456750787,0.012944067203314981,0.5052444133281385
trimmed,1e-2,6e-05,instability,5,action_avg_rank,action_context,0.04652204883219129,10.042874476910056,0.17809997854319307,2.622005069851834e-06,0.9969012480422926,0.0013591975156250738,0.4813650879464485
trimmed,1e-2,6e-05,instability,6,action_type_1,action_context,0.0693978147843788,10.01547613460588,0.08777784656771659,3.877454937321856e-06,0.997648754104147,0.003754558330452962,0.2881159098994032
trimmed,1e-2,6e-05,instability,7,position_landlord,position_identity,0.07342003260263132,10.007583357781195,0.01823404542227929,4.208705005928185e-06,0.9996081034606354,0.0032571679291625816,0.3333333333333333
trimmed,1e-2,6e-05,instability,8,landlord_up_cards_left,cards_left,0.10612254875085134,10.007222016515898,0.016537855150439356,5.37455424495189e-06,0.9995232320210771,0.014177740656714245,1.0
trimmed,1e-2,6e-05,instability,9,my_cards_left,cards_left,0.08465743719567341,10.00718230789834,0.011449284334919553,4.1928487917549405e-06,0.9998409745372617,0.013263874955217834,1.0
