method,strategy,opponent,test_case,best_win_rate,checkpoint,source,selection_rank
approx_doufeature_buffer_mcadv,mc_adv_buffer,random,farmer1,0.89,/data/sea_disk0/qianlei/Codes/Fight-the-Landlord/approx_qlearning_checkpoints/approx_doufeature/approx_doufeature_logadp_mc_adv_buffer_1m/200000.pkl,approx_doufeature_buffer_td_mcadv_vs_rlcard_douzero_landlord.csv,approx_doufeature_buffer_mcadv#3
approx_doufeature_td,td_1m,random,farmer1,0.858,/data/sea_disk0/qianlei/Codes/Fight-the-Landlord/approx_qlearning_checkpoints/approx_doufeature/approx_doufeature_logadp_td_1m/500000.pkl,approx_doufeature_td_mc_1m_vs_rlcard_douzero_landlord.csv,approx_doufeature_td#2
approxq_douzero,approxq,random,farmer1,0.858,/data/sea_disk0/qianlei/Codes/Fight-the-Landlord/approx_qlearning_checkpoints/approx_qlearning/approxq_logadp_cmp_1m_history/750000.pkl,finetune_compare_landlord.csv,approxq_douzero#2
attention_dou,attention_dou,random,farmer1,0.82,/data/sea_disk0/qianlei/Codes/Fight-the-Landlord/attention_dou_checkpoints/attention_dou/attention_dou_logadp_mc_adv_buffer_1m_fast/950000.pkl,attention_dou_vs_rlcard_douzero_landlord_frames.csv,attention_dou#1
approx_doufeature_buffer_mcadv,mc_adv_buffer,random,farmer2,0.906,/data/sea_disk0/qianlei/Codes/Fight-the-Landlord/approx_qlearning_checkpoints/approx_doufeature/approx_doufeature_logadp_mc_adv_buffer_1m/400000.pkl,approx_doufeature_buffer_td_mcadv_vs_rlcard_douzero_landlord.csv,approx_doufeature_buffer_mcadv#1
approx_doufeature_td,td_1m_gamma,random,farmer2,0.872,/data/sea_disk0/qianlei/Codes/Fight-the-Landlord/approx_qlearning_checkpoints/approx_doufeature/approx_doufeature_logadp_td_1m_gamma/400000.pkl,approx_doufeature_td_1m_gamma_vs_rlcard_douzero_landlord.csv,approx_doufeature_td#3
approxq_douzero,approxq,random,farmer2,0.82,/data/sea_disk0/qianlei/Codes/Fight-the-Landlord/approx_qlearning_checkpoints/approx_qlearning/approxq_logadp_cmp_1m_history/750000.pkl,finetune_compare_landlord.csv,approxq_douzero#1
attention_dou,attention_dou,random,farmer2,0.914,/data/sea_disk0/qianlei/Codes/Fight-the-Landlord/attention_dou_checkpoints/attention_dou/attention_dou_logadp_mc_adv_buffer_1m_fast/1000000.pkl,attention_dou_vs_rlcard_douzero_landlord_frames.csv,attention_dou#2
approx_doufeature_buffer_mcadv,mc_adv_buffer,random,landlord,0.912,/data/sea_disk0/qianlei/Codes/Fight-the-Landlord/approx_qlearning_checkpoints/approx_doufeature/approx_doufeature_logadp_mc_adv_buffer_1m/700000.pkl,approx_doufeature_buffer_td_mcadv_vs_rlcard_douzero_landlord.csv,approx_doufeature_buffer_mcadv#2
approx_doufeature_td,td_1m,random,landlord,0.902,/data/sea_disk0/qianlei/Codes/Fight-the-Landlord/approx_qlearning_checkpoints/approx_doufeature/approx_doufeature_logadp_td_1m/650016.pkl,approx_doufeature_td_mc_1m_vs_rlcard_douzero_landlord.csv,approx_doufeature_td#1
approxq_douzero,approxq,random,landlord,0.952,/data/sea_disk0/qianlei/Codes/Fight-the-Landlord/approx_qlearning_checkpoints/approx_qlearning/approxq_logadp_cmp_1m_history/750000.pkl,finetune_compare_landlord.csv,approxq_douzero#1
attention_dou,attention_dou,random,landlord,0.95,/data/sea_disk0/qianlei/Codes/Fight-the-Landlord/attention_dou_checkpoints/attention_dou/attention_dou_logadp_mc_adv_buffer_1m_fast/950000.pkl,attention_dou_vs_rlcard_douzero_landlord_frames.csv,attention_dou#1
approx_doufeature_buffer_mcadv,mc_adv_buffer,random,two_farmer,0.946,/data/sea_disk0/qianlei/Codes/Fight-the-Landlord/approx_qlearning_checkpoints/approx_doufeature/approx_doufeature_logadp_mc_adv_buffer_1m/200000.pkl,approx_doufeature_buffer_td_mcadv_vs_rlcard_douzero_landlord.csv,approx_doufeature_buffer_mcadv#3
approx_doufeature_td,td_1m_gamma,random,two_farmer,0.926,/data/sea_disk0/qianlei/Codes/Fight-the-Landlord/approx_qlearning_checkpoints/approx_doufeature/approx_doufeature_logadp_td_1m_gamma/400000.pkl,approx_doufeature_td_1m_gamma_vs_rlcard_douzero_landlord.csv,approx_doufeature_td#3
approxq_douzero,approxq,random,two_farmer,0.878,/data/sea_disk0/qianlei/Codes/Fight-the-Landlord/approx_qlearning_checkpoints/approx_qlearning/approxq_logadp_cmp_1m_history/750000.pkl,finetune_compare_landlord.csv,approxq_douzero#1
attention_dou,attention_dou,random,two_farmer,0.948,/data/sea_disk0/qianlei/Codes/Fight-the-Landlord/attention_dou_checkpoints/attention_dou/attention_dou_logadp_mc_adv_buffer_1m_fast/950000.pkl,attention_dou_vs_rlcard_douzero_landlord_frames.csv,attention_dou#1
approx_doufeature_buffer_mcadv,mc_adv_buffer,rlcard,farmer1,0.554,/data/sea_disk0/qianlei/Codes/Fight-the-Landlord/approx_qlearning_checkpoints/approx_doufeature/approx_doufeature_logadp_mc_adv_buffer_1m/700000.pkl,approx_doufeature_buffer_td_mcadv_vs_rlcard_douzero_landlord.csv,approx_doufeature_buffer_mcadv#2
approx_doufeature_td,td_1m,rlcard,farmer1,0.574,/data/sea_disk0/qianlei/Codes/Fight-the-Landlord/approx_qlearning_checkpoints/approx_doufeature/approx_doufeature_logadp_td_1m/500000.pkl,approx_doufeature_td_mc_1m_vs_rlcard_douzero_landlord.csv,approx_doufeature_td#2
approxq_douzero,approxq,rlcard,farmer1,0.494,/data/sea_disk0/qianlei/Codes/Fight-the-Landlord/approx_qlearning_checkpoints/approx_qlearning/approxq_logadp_cmp_1m_history/750000.pkl,finetune_compare_landlord.csv,approxq_douzero#2
attention_dou,attention_dou,rlcard,farmer1,0.506,/data/sea_disk0/qianlei/Codes/Fight-the-Landlord/attention_dou_checkpoints/attention_dou/attention_dou_logadp_mc_adv_buffer_1m_fast/950000.pkl,attention_dou_vs_rlcard_douzero_landlord_frames.csv,attention_dou#1
approx_doufeature_buffer_mcadv,mc_adv_buffer,rlcard,farmer2,0.518,/data/sea_disk0/qianlei/Codes/Fight-the-Landlord/approx_qlearning_checkpoints/approx_doufeature/approx_doufeature_logadp_mc_adv_buffer_1m/400000.pkl,approx_doufeature_buffer_td_mcadv_vs_rlcard_douzero_landlord.csv,approx_doufeature_buffer_mcadv#1
approx_doufeature_td,td_1m_gamma,rlcard,farmer2,0.472,/data/sea_disk0/qianlei/Codes/Fight-the-Landlord/approx_qlearning_checkpoints/approx_doufeature/approx_doufeature_logadp_td_1m_gamma/400000.pkl,approx_doufeature_td_1m_gamma_vs_rlcard_douzero_landlord.csv,approx_doufeature_td#3
approxq_douzero,approxq,rlcard,farmer2,0.454,/data/sea_disk0/qianlei/Codes/Fight-the-Landlord/approx_qlearning_checkpoints/approx_qlearning/approxq_logadp_cmp_1m_history/750000.pkl,finetune_compare_landlord.csv,approxq_douzero#1
attention_dou,attention_dou,rlcard,farmer2,0.57,/data/sea_disk0/qianlei/Codes/Fight-the-Landlord/attention_dou_checkpoints/attention_dou/attention_dou_logadp_mc_adv_buffer_1m_fast/950000.pkl,attention_dou_vs_rlcard_douzero_landlord_frames.csv,attention_dou#1
approx_doufeature_buffer_mcadv,mc_adv_buffer,rlcard,landlord,0.666,/data/sea_disk0/qianlei/Codes/Fight-the-Landlord/approx_qlearning_checkpoints/approx_doufeature/approx_doufeature_logadp_mc_adv_buffer_1m/400000.pkl,approx_doufeature_buffer_td_mcadv_vs_rlcard_douzero_landlord.csv,approx_doufeature_buffer_mcadv#1
approx_doufeature_td,td_1m_gamma,rlcard,landlord,0.612,/data/sea_disk0/qianlei/Codes/Fight-the-Landlord/approx_qlearning_checkpoints/approx_doufeature/approx_doufeature_logadp_td_1m_gamma/400000.pkl,approx_doufeature_td_1m_gamma_vs_rlcard_douzero_landlord.csv,approx_doufeature_td#3
approxq_douzero,approxq,rlcard,landlord,0.72,/data/sea_disk0/qianlei/Codes/Fight-the-Landlord/approx_qlearning_checkpoints/approx_qlearning/approxq_logadp_cmp_1m_history/750000.pkl,finetune_compare_landlord.csv,approxq_douzero#2
attention_dou,attention_dou,rlcard,landlord,0.628,/data/sea_disk0/qianlei/Codes/Fight-the-Landlord/attention_dou_checkpoints/attention_dou/attention_dou_logadp_mc_adv_buffer_1m_fast/1000000.pkl,attention_dou_vs_rlcard_douzero_landlord_frames.csv,attention_dou#2
approx_doufeature_buffer_mcadv,mc_adv_buffer,rlcard,two_farmer,0.526,/data/sea_disk0/qianlei/Codes/Fight-the-Landlord/approx_qlearning_checkpoints/approx_doufeature/approx_doufeature_logadp_mc_adv_buffer_1m/200000.pkl,approx_doufeature_buffer_td_mcadv_vs_rlcard_douzero_landlord.csv,approx_doufeature_buffer_mcadv#3
approx_doufeature_td,td_1m_gamma,rlcard,two_farmer,0.474,/data/sea_disk0/qianlei/Codes/Fight-the-Landlord/approx_qlearning_checkpoints/approx_doufeature/approx_doufeature_logadp_td_1m_gamma/400000.pkl,approx_doufeature_td_1m_gamma_vs_rlcard_douzero_landlord.csv,approx_doufeature_td#3
approxq_douzero,approxq,rlcard,two_farmer,0.17,/data/sea_disk0/qianlei/Codes/Fight-the-Landlord/approx_qlearning_checkpoints/approx_qlearning/approxq_logadp_cmp_1m_history/750000.pkl,finetune_compare_landlord.csv,approxq_douzero#1
attention_dou,attention_dou,rlcard,two_farmer,0.476,/data/sea_disk0/qianlei/Codes/Fight-the-Landlord/attention_dou_checkpoints/attention_dou/attention_dou_logadp_mc_adv_buffer_1m_fast/950000.pkl,attention_dou_vs_rlcard_douzero_landlord_frames.csv,attention_dou#1
